,level_0,level_1,pred
0,0,0,6.695278167724609
1,0,1,7.30751371383667
2,0,2,8.33784294128418
3,0,3,8.350210189819336
4,0,4,7.645848274230957
5,0,5,7.516002178192139
6,0,6,7.3177170753479
7,0,7,6.841076850891113
8,0,8,7.27728796005249
9,0,9,6.856319427490234
10,0,10,6.723447799682617
11,0,11,7.161745548248291
12,0,12,7.306259632110596
13,0,13,7.559415817260742
14,0,14,6.831721305847168
15,0,15,6.6608710289001465
16,0,16,6.407352924346924
17,0,17,5.628078937530518
18,0,18,5.066131591796875
19,0,19,5.116334915161133
20,0,20,4.066967964172363
21,0,21,3.3208935260772705
22,0,22,4.2123823165893555
23,0,23,4.882737636566162
24,1,0,4.750965118408203
25,1,1,3.6037564277648926
26,1,2,2.007166624069214
27,1,3,1.3324635028839111
28,1,4,2.3590822219848633
29,1,5,2.104222297668457
30,1,6,2.4363458156585693
31,1,7,2.0697267055511475
32,1,8,4.3188629150390625
33,1,9,4.328988075256348
34,1,10,4.478316307067871
35,1,11,5.35402774810791
36,1,12,6.252783298492432
37,1,13,7.163356781005859
38,1,14,6.353498458862305
39,1,15,6.225842475891113
40,1,16,4.658666133880615
41,1,17,5.597509384155273
42,1,18,5.151686191558838
43,1,19,5.352167129516602
44,1,20,4.457042217254639
45,1,21,3.317115545272827
46,1,22,4.874415874481201
47,1,23,4.797255992889404
48,2,0,4.477520942687988
49,2,1,4.59935188293457
50,2,2,4.962227821350098
51,2,3,5.149686813354492
52,2,4,4.279186248779297
53,2,5,4.898111343383789
54,2,6,6.712280750274658
55,2,7,7.555949687957764
56,2,8,6.610176086425781
57,2,9,5.441511154174805
58,2,10,6.356804847717285
59,2,11,6.221418857574463
60,2,12,6.8072967529296875
61,2,13,6.553467750549316
62,2,14,5.584131240844727
63,2,15,5.269660949707031
64,2,16,5.129035472869873
65,2,17,5.268665790557861
66,2,18,5.018646717071533
67,2,19,5.014902591705322
68,2,20,5.193310737609863
69,2,21,5.384186744689941
70,2,22,6.6066575050354
71,2,23,7.088983058929443
72,3,0,6.286726951599121
73,3,1,6.368835926055908
74,3,2,6.470733165740967
75,3,3,5.618969440460205
76,3,4,6.073907852172852
77,3,5,5.402847766876221
78,3,6,5.7340216636657715
79,3,7,6.099354267120361
80,3,8,5.431293487548828
81,3,9,5.751548767089844
82,3,10,5.584164619445801
83,3,11,6.618375301361084
84,3,12,6.399130344390869
85,3,13,6.130621910095215
86,3,14,6.953678607940674
87,3,15,6.781917572021484
88,3,16,6.0769147872924805
89,3,17,5.979851245880127
90,3,18,5.482959270477295
91,3,19,5.581806182861328
92,3,20,5.165182590484619
93,3,21,6.2845354080200195
94,3,22,6.592230319976807
95,3,23,6.803873538970947
96,4,0,6.941647529602051
97,4,1,7.284599781036377
98,4,2,6.805070877075195
99,4,3,6.79831600189209
100,4,4,6.855464935302734
101,4,5,5.561293601989746
102,4,6,5.155772686004639
103,4,7,6.078647136688232
104,4,8,5.637300968170166
105,4,9,5.946334362030029
106,4,10,5.237059593200684
107,4,11,5.487958908081055
108,4,12,5.378446102142334
109,4,13,5.607610702514648
110,4,14,6.0995774269104
111,4,15,6.326066017150879
112,4,16,5.5525712966918945
113,4,17,4.3992838859558105
114,4,18,4.125436782836914
115,4,19,4.233428955078125
116,4,20,3.857987880706787
117,4,21,4.292912483215332
118,4,22,4.402605056762695
119,4,23,3.557480812072754
120,5,0,3.81516695022583
121,5,1,3.7616183757781982
122,5,2,3.440641403198242
